ModelType,WordWidth,BatchSize,TotalPowerMean,TotalPowerVar,TotalPowerMin,TotalPowerMax,GPUPowerMean,GPUPowerVar,GPUPowerMin,GPUPowerMax,CPUPowerMean,CPUPowerVar,CPUPowerMin,CPUPowerMax,GPUTempMean,GPUTempVar,GPUTempMin,GPUTempMax,CPUTempMean,CPUTempVar,CPUTempMin,CPUTempMax,RAMUtilMean,RAMUtilVar,RAMUtilMin,RAMUtilMax
resnet101,16,64,1796.3218939620015,106223.79810515656,1556.0,4501.0,44.37282403262708,4099.315294491765,0.0,1771.0,242.45091017606686,28803.673831112294,122.0,976.0,29.325673928180642,0.8859289325710311,26.0,33.5,29.625932557445537,1.3816840129587136,25.5,34.5,0.7562049794013023,0.011741989621757824,0.32315842583249244,0.979313824419778
resnet101,32,16,1739.588719637711,70742.6801691717,1592.0,4072.0,54.08769040757513,2793.7794656003243,0.0,1128.0,222.57801564429806,25455.163633608652,122.0,934.0,29.844586249485385,0.07125619974505261,29.5,31.0,29.77295183202964,0.17560022040524798,29.0,32.0,0.6221111452226066,0.007629316040488085,0.31987891019172554,0.9798183652875883
mobilenetV2,16,16,1647.2224350361626,15028.646071667012,1556.0,3951.0,50.873845802006805,5064.043460207662,40.0,1854.0,171.8763614533604,2189.5561665843106,122.0,933.0,27.40270432520511,0.12991635947616126,26.0,29.0,27.61487664732283,0.07990389619316765,26.5,29.0,0.8102191759222557,0.0038489174379519138,0.32088799192734613,0.8377901109989909
resnet18,32,64,1671.6893876499385,33807.50627969431,1592.0,5128.0,53.777446966877555,12259.105203765152,40.0,2287.0,177.20987088832268,3625.2370226022067,122.0,934.0,29.687269187827432,0.0989301367789888,28.5,32.0,29.630085024763105,0.13074042104367048,28.5,32.0,0.8669490806165049,0.012013926039646683,0.3229061553985873,0.9757820383451059
mobilenetV2,32,16,1662.4021480738938,17982.013015577675,1592.0,4347.0,50.83110410998138,4794.105370784378,40.0,2009.0,175.22425891450666,2715.4136632593268,122.0,894.0,29.401088357439495,0.08135926227745378,28.5,31.0,29.424359157955035,0.07037756082369309,28.5,31.5,0.8907388536062716,0.005139003909257285,0.3249243188698285,0.9243188698284561
resnet18,16,64,1654.2935630456561,24799.807104694144,1551.0,5008.0,52.2207134678689,8976.698691461768,40.0,2210.0,173.96972949763847,2794.694410732611,122.0,894.0,27.679520895949622,1.1544627087733208,25.5,30.5,27.727780163160155,0.9619096708645505,25.5,30.5,0.8518404585017844,0.014147807647416548,0.3216448032290615,0.944752774974773
resnet18,16,16,1647.7375749440716,26595.69408611016,1554.0,4112.0,53.55933780760626,10052.661405199087,40.0,1851.0,171.64975391498882,2302.902687858905,122.0,894.0,26.672447427293065,0.10729544186698299,25.5,28.5,26.80807158836689,0.13994200829792453,25.5,28.5,0.8049320483907741,0.0025511527352415704,0.3203834510595358,0.8526740665993946
mobilenetV2,32,64,1733.2197028068244,62118.94589688471,1592.0,3991.0,45.17171161254816,956.7022707632827,0.0,1046.0,210.95883324160704,16559.152955820842,122.0,934.0,29.684810126582278,0.1531869892645409,29.0,31.5,29.580462300495324,0.3339220757664193,28.5,32.5,0.6524662246403654,0.010648659125125373,0.3226538849646821,0.9778002018163471
resnet18,32,16,1667.601963567542,37014.11005528801,1556.0,4967.0,55.939673527324345,14221.592102377446,40.0,2126.0,175.41786136740004,2897.286357101197,122.0,894.0,28.81682044002839,1.83399906948521,25.5,33.0,28.961473858528507,1.9384080950701137,25.5,34.5,0.8396984858044615,0.0041383631089174835,0.32441977800201816,0.8753784056508577
mobilenetV2,16,64,1672.4836121157323,27875.102353498733,1556.0,4541.0,50.50587703435805,4934.266692404409,0.0,1895.0,183.2800067811935,7458.253027034313,122.0,934.0,28.787155289330922,0.11884439405882224,26.0,30.5,28.97999547920434,0.14240045205912844,25.5,31.0,0.819885111459738,0.019482192329946982,0.3226538849646821,0.9795660948536832
resnet101,32,64,1677.9990437485058,25064.605784407122,1592.0,4106.0,48.78568013387521,1222.0247100741142,40.0,1088.0,187.08319387999043,9223.95626309581,122.0,934.0,29.66280181687784,0.41432750722117895,28.5,31.5,29.722866363853694,0.49315272108472247,28.5,33.0,0.6221813618767811,0.002622252933956412,0.3196266397578204,0.9757820383451059
resnet101,16,16,1677.4555847719218,61355.98462269165,1551.0,4581.0,67.51108951640562,32924.73158503679,40.0,1935.0,176.10472161884076,3336.520129758447,122.0,934.0,28.20498456613696,0.0962001455260579,26.5,30.0,28.443409168857894,0.0882002444935015,26.5,30.5,0.9164046961120418,0.006212832445898808,0.32214934409687185,0.9576185671039354
